Reference,DOI,Plant,Substratum,Taxon,Species,Cover
Cunha and Jacobucci 2010,10.1590/S1984-46702010000600016,Sargassum cymosum,Natural,Hydrozoa,Aglaophenia latecarinata,12.725948
Cunha and Jacobucci 2010,10.1590/S1984-46702010000600016,Sargassum cymosum,Natural,Hydrozoa,Aglaophenia latecarinata,23.396903
Cunha and Jacobucci 2010,10.1590/S1984-46702010000600016,Sargassum cymosum,Natural,Hydrozoa,Aglaophenia latecarinata,30.480248
Cunha and Jacobucci 2010,10.1590/S1984-46702010000600016,Sargassum cymosum,Natural,Hydrozoa,Aglaophenia latecarinata,45.874235
Fletcher and Day 1983,10.1016/0022-0981(83)90115-6,Ecklonia radiata,Natural,Mix,"Membranipora membranacea, Obelia australis and Spirorbis spp.",4.5221443
Fletcher and Day 1983,10.1016/0022-0981(83)90115-6,Ecklonia radiata,Natural,Mix,"Membranipora membranacea, Obelia australis and Spirorbis spp.",3.6300507
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,Natural,Bryozoa,Membranipora membranacea,6.155731667
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,Natural,Bryozoa,Membranipora membranacea,19.7398187
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,Natural,Mix,Membranipora membranacea and Obelia geniculata,31.05780818
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,Natural,Mix,Membranipora membranacea and Obelia geniculata,2.460886433
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,Natural,Mix,Membranipora membranacea and Obelia geniculata,32.41109543
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,Natural,Mix,Membranipora membranacea and Obelia geniculata,67.48264501
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,Natural,Mix,Membranipora membranacea and Obelia geniculata,2.992856797
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,Natural,Mix,Membranipora membranacea and Obelia geniculata,7.654524157
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,Natural,Mix,Membranipora membranacea and Obelia geniculata,34.14192812
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,Natural,Mix,Membranipora membranacea and Obelia geniculata,16.36644582
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,Natural,Mix,Membranipora membranacea and Obelia geniculata,2.321037867
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,Natural,Mix,Membranipora membranacea and Obelia geniculata,7.970492867
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,Natural,Hydrozoa,NA,0.340482137
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,Natural,Hydrozoa,NA,0.156932142
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,Natural,Hydrozoa,NA,0.352791187
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,Natural,Hydrozoa,NA,0.238642047
