Vegetation_category,Substrate_category,Level,Species,Phyla,Order,Family,Genus,Multispecies,Aggregation_required,Site,Site_ID_within_study,Latitude_decimal_degrees,Longitude_decimal_degrees,Originalcoordinates,Depth_min_m,Depth_max_m,Start_year,End_year,Ann_sampling_freq,Seasons,Data_mining_method,Description,Reference,Prod_method_group,Prod_method_general,Standing biomass_kg_DW_m2,Avg_NPP,sted_NPP,NPP_units,FW_DW_Conversion_factor,DW_Carbon_Conversion_factor,Avg_NPP_kg_C_m2_y,stdev_NPP_kg_C_m2_y,Person_entering_data
Red algal beds & algal turfs,Coral Reef,NA,Acanthophora spicifera,Red,Ceramiales,Ceramiaceae,Acanthophora,NO,NO,"Checker Reef, Hawaii",2,21.462275,-157.807256,NO,NA,NA,NA,NA,NA,all,Text,Respirometry in the lab with similar conditoins than in the reef. Respirometry for 24 hours (2-3 reps) conducted monthly or bimonthly over the year. Water was stirred. Values correspond to the annual mean single species (thalli) productivity without epiphytes (underestimate) derived fromall seasonal data. Weight-specific productivity was finally converted to aereal productivity using abundance data from quadrats taken throught the year . Annual means are then multiplied by 365,Morrissey 1985,Photorespirometry-oudoor mesocosm,PR,,0.6,NA,g C m-2 day-1,NA,NA,0.219,NA,AP
Red algal beds & algal turfs,Sand,Subtidal,Agarophyton vermiculophyllum,Red,Gracilariales,Gracilariaceae,Agarophyton,NO,NO,"Holckenhavn Fjord, Denmark",1,55.296901,10.767141,YES,0,3,2008,2008,8,"Spring, Summer, Autumn",Text,NA,Nejrup & Pedersen 2010,BA-periodic harvest,BA,,889.2,NA,g C m-2 yr-1,NA,NA,0.8892,NA,MFP
Red algal beds & algal turfs,Sand,Subtidal,Agarophyton vermiculophyllum,Red,Gracilariales,Gracilariaceae,Agarophyton,NO,NO,"Fyns Hoved, Denmark",2,55.612813,10.601436,YES,0,1.5,2008,2008,8,"Spring, Summer, Autumn",Text,NA,Nejrup & Pedersen 2010,BA-periodic harvest,BA,,3.6,NA,g C m-2 yr-1,NA,NA,0.0036,NA,MFP
Marine forest,Rocky Reef,Subtidal,Agarum clathratum,Brown,Laminariales,Agaraceae,Agarum,NO,YES,"Sea Lion Pinnacles, Danger Is, Alaska",2,59.928567,-148.070314,NO,12,17,1978,1979,1,all,Text,Based on P/B ratios obtained from kachemak Bnay. Took lowest estimate,Lees et al 1980,BA-single harvest,BA,,0.03,NA,kg FW m-2 yr-1,0.199,0.277,0.00165369,NA,AP
Marine forest,Rocky Reef,Subtidal,Agarum clathratum,Brown,Laminariales,Agaraceae,Agarum,NO,YES,"Sea Lion Pinnacles, Danger Is, Alaska",2,59.928567,-148.070314,NO,7,12,1978,1979,1,all,Text,Based on P/B ratios obtained from kachemak Bnay. Took lowest estimate,Lees et al 1980,BA-single harvest,BA,,0.045,NA,kg FW m-2 yr-1,0.199,0.277,0.002480535,NA,AP
Marine forest,Rocky Reef,Subtidal,Agarum clathratum,Brown,Laminariales,Agaraceae,Agarum,NO,YES,"Sea Lion Pinnacles, Danger Is, Alaska",2,59.928567,-148.070314,NO,17,22,1978,1979,1,all,Text,Based on P/B ratios obtained from kachemak Bnay. Took lowest estimate,Lees et al 1980,BA-single harvest,BA,,0.065,NA,kg FW m-2 yr-1,0.199,0.277,0.003582995,NA,AP
Marine forest,Rocky Reef,Subtidal,Agarum clathratum,Brown,Laminariales,Agaraceae,Agarum,NO,YES,"Latouche Point, Alaska",3,59.949094,-148.060598,NO,9,9,1978,1979,1,all,Text,Based on P/B ratios obtained from kachemak Bnay. Took lowest estimate,Lees et al 1980,BA-single harvest,BA,,0.49,NA,kg FW m-2 yr-1,0.199,0.297,0.02896047,NA,AP
Marine forest,Rocky Reef,Subtidal,Agarum clathratum,Brown,Laminariales,Agaraceae,Agarum,NO,YES,"Seldovia Point, Alaska",1,59.470474,-151.704591,NO,18,18,1978,1979,1,all,Text,"Estimates of primary production for subtidal populations of Agarum were calculated using plant size data, a length-weight regression, estimates of standing stocks for Agarum from 1977 and 1978, and two assumptions. These assumptions, based on studies at Jakolof Bay (Dames & Moore 1979b), are that 1) the average rate of blade elongation was 57.7 cm/year and 2) this rate is size-independent. Data is from Table 6-52",Lees et al 1980,BA-single harvest,BA,,0.63,NA,kg FW m-2 yr-1,0.199,0.297,0.03723489,NA,AP
Marine forest,Rocky Reef,Subtidal,Agarum clathratum,Brown,Laminariales,Agaraceae,Agarum,NO,YES,"Zaikof Point, Alaska",5,60.310747,-146.947296,NO,7,12,1978,1979,1,all,Text,Based on P/B ratios obtained from kachemak Bnay,Lees et al 1980,BA-single harvest,BA,,0.731,NA,kg FW m-2 yr-1,0.199,0.297,0.043204293,NA,AP
Marine forest,Rocky Reef,Subtidal,Agarum clathratum,Brown,Laminariales,Agaraceae,Agarum,NO,YES,"Seldovia Point, Alaska",1,59.470474,-151.704591,NO,12,12,1978,1979,1,all,Text,"Estimates of primary production for subtidal populations of Agarum were calculated using plant size data, a length-weight regression, estimates of standing stocks for Agarum from 1977 and 1978, and two assumptions. These assumptions, based on studies at Jakolof Bay (Dames & Moore 1979b), are that 1) the average rate of blade elongation was 57.7 cm/year and 2) this rate is size-independent. Data is from Table 6-51",Lees et al 1980,BA-single harvest,BA,,0.835,NA,kg FW m-2 yr-1,0.199,0.297,0.049351005,NA,AP
Marine forest,Rocky Reef,Subtidal,Agarum clathratum,Brown,Laminariales,Agaraceae,Agarum,NO,YES,"Zaikof Point, Alaska",5,60.310747,-146.947296,NO,3,7,1978,1979,1,all,Text,Based on P/B ratios obtained from kachemak Bnay,Lees et al 1980,BA-single harvest,BA,,0.848,NA,kg FW m-2 yr-1,0.199,0.297,0.050119344,NA,AP
Marine forest,Rocky Reef,Subtidal,Agarum clathratum,Brown,Laminariales,Agaraceae,Agarum,NO,YES,"NMFS site, Alaska",4,60.29604,-147.016064,NO,7,12,1978,1979,1,all,Text,Based on P/B ratios obtained from kachemak Bnay. Took lowest estimate,Lees et al 1980,BA-single harvest,BA,,1,NA,kg FW m-2 yr-1,0.199,0.297,0.059103,NA,AP
Marine forest,Rocky Reef,Subtidal,Agarum clathratum,Brown,Laminariales,Agaraceae,Agarum,NO,YES,"Seldovia Point, Alaska",1,59.470474,-151.704591,NO,9,9,1978,1979,1,all,Text,"Estimates of primary production for subtidal populations of Agarum were calculated using plant size data, a length-weight regression, estimates of standing stocks for Agarum from 1977 and 1978, and two assumptions. These assumptions, based on studies at Jakolof Bay (Dames & Moore 1979b), are that 1) the average rate of blade elongation was 57.7 cm/year and 2) this rate is size-independent. Data is from Table 6-50",Lees et al 1980,BA-single harvest,BA,,1.463,NA,kg FW m-2 yr-1,0.199,0.297,0.086467689,NA,AP
Marine forest,Rocky Reef,Subtidal,Agarum clathratum,Brown,Laminariales,Agaraceae,Agarum,NO,YES,"NMFS site, Alaska",4,60.29604,-147.016064,NO,3,7,1978,1979,1,all,Text,Based on P/B ratios obtained from kachemak Bnay. Took lowest estimate,Lees et al 1980,BA-single harvest,BA,,1.6,NA,kg FW m-2 yr-1,0.199,0.297,0.0945648,NA,AP
Marine forest,Rocky Reef,Subtidal,Agarum clathratum,Brown,Laminariales,Agaraceae,Agarum,NO,YES,"Seldovia Point, Alaska",1,59.470474,-151.704591,NO,6,6,1978,1979,1,all,Text,"Estimates of primary production for subtidal populations of Agarum were calculated using plant size data, a length-weight regression, estimates of standing stocks for Agarum from 1977 and 1978, and two assumptions. These assumptions, based on studies at Jakolof Bay (Dames & Moore 1979b), are that 1) the average rate of blade elongation was 57.7 cm/year and 2) this rate is size-independent. Data is from Table 6-49",Lees et al 1980,BA-single harvest,BA,,1.962,NA,kg FW m-2 yr-1,0.199,0.297,0.115960086,NA,AP
Marine forest,Rocky Reef,Intertidal,Ascophyllum nodosum,Brown,Fucales,Fucaceae,Ascophyllum,NO,NO,"Tor Bay, Nova Scotia",7,45.203215,-61.365705,NO,0,0,1980,1980,1,Spring,Text,Method 2,Cousens 1984,BA-periodic harvest,BA,,0.153,NA,kg DW m-2 yr-1,NA,0.3,0.0459,NA,AP
Marine forest,Rocky Reef,Intertidal,Ascophyllum nodosum,Brown,Fucales,Fucaceae,Ascophyllum,NO,NO,"Louisbourg, Nova Scotia",5,45.920843,-59.966395,NO,0,0,1980,1980,1,Spring,Text,Method I,Cousens 1984,BA-periodic harvest,BA,,0.61,NA,kg DW m-2 yr-1,NA,0.3,0.183,NA,AP
Marine forest,Rocky Reef,Intertidal,Ascophyllum nodosum,Brown,Fucales,Fucaceae,Ascophyllum,NO,NO,"Black Rock, Nova Scotia",1,45.102862,-64.968968,NO,0,0,1980,1980,1,Spring,Text,Method I,Cousens 1984,BA-periodic harvest,BA,,0.64,NA,kg DW m-2 yr-1,NA,0.3,0.192,NA,AP
Marine forest,Rocky Reef,Intertidal,Ascophyllum nodosum,Brown,Fucales,Fucaceae,Ascophyllum,NO,NO,"Louisbourg, Nova Scotia",5,45.920843,-59.966395,NO,0,0,1980,1980,1,Spring,Text,Method Ia,Cousens 1984,BA-periodic harvest,BA,,0.69,NA,kg DW m-2 yr-1,NA,0.3,0.207,NA,AP
Marine forest,Rocky Reef,Intertidal,Ascophyllum nodosum,Brown,Fucales,Fucaceae,Ascophyllum,NO,NO,"Louisbourg, Nova Scotia",5,45.920843,-59.966395,NO,0,0,1980,1980,1,Spring,Text,Method 2,Cousens 1984,BA-periodic harvest,BA,,0.69,NA,kg DW m-2 yr-1,NA,0.3,0.207,NA,AP
Marine forest,Rocky Reef,Intertidal,Ascophyllum nodosum,Brown,Fucales,Fucaceae,Ascophyllum,NO,NO,"Pubnico, Nova Scotia",6,43.599766,-65.7889,NO,0,0,1980,1980,1,Spring,Text,Method I,Cousens 1984,BA-periodic harvest,BA,,0.81,NA,kg DW m-2 yr-1,NA,0.3,0.243,NA,AP
Marine forest,Rocky Reef,Intertidal,Ascophyllum nodosum,Brown,Fucales,Fucaceae,Ascophyllum,NO,NO,"Black Rock, Nova Scotia",1,45.102862,-64.968968,NO,0,0,1980,1980,1,Spring,Text,Method Ia,Cousens 1984,BA-periodic harvest,BA,,0.81,NA,kg DW m-2 yr-1,NA,0.3,0.243,NA,AP
Marine forest,Rocky Reef,Intertidal,Ascophyllum nodosum,Brown,Fucales,Fucaceae,Ascophyllum,NO,NO,"Black Rock, Nova Scotia",1,45.102862,-64.968968,NO,0,0,1980,1980,1,Spring,Text,Method 2d,Cousens 1984,BA-periodic harvest,BA,,0.81,NA,kg DW m-2 yr-1,NA,0.3,0.243,NA,AP
Marine forest,Rocky Reef,Intertidal,Ascophyllum nodosum,Brown,Fucales,Fucaceae,Ascophyllum,NO,NO,"Louisbourg, Nova Scotia",5,45.920843,-59.966395,NO,0,0,1980,1980,1,Spring,Text,Method 2d,Cousens 1984,BA-periodic harvest,BA,,0.81,NA,kg DW m-2 yr-1,NA,0.3,0.243,NA,AP
Marine forest,Rocky Reef,Intertidal,Ascophyllum nodosum,Brown,Fucales,Fucaceae,Ascophyllum,NO,NO,"Louisbourg, Nova Scotia",5,45.920843,-59.966395,NO,0,0,1980,1980,1,Spring,Text,Method 2a,Cousens 1984,BA-periodic harvest,BA,,0.82,NA,kg DW m-2 yr-1,NA,0.3,0.246,NA,AP
