Reference,DOI,Plant,Farmed,Taxon,Species,Cover
Cunha and Jacobucci 2010,10.1590/S1984-46702010000600016,Sargassum cymosum,No,Hydrozoa,Aglaophenia latecarinata,12.725948
Cunha and Jacobucci 2010,10.1590/S1984-46702010000600016,Sargassum cymosum,No,Hydrozoa,Aglaophenia latecarinata,23.396903
Cunha and Jacobucci 2010,10.1590/S1984-46702010000600016,Sargassum cymosum,No,Hydrozoa,Aglaophenia latecarinata,30.480248
Cunha and Jacobucci 2010,10.1590/S1984-46702010000600016,Sargassum cymosum,No,Hydrozoa,Aglaophenia latecarinata,45.874235
Fletcher and Day 1983,10.1016/0022-0981(83)90115-6,Ecklonia radiata,No,Mix,"Membranipora membranacea, Obelia australis and Spirorbis spp.",4.5221443
Fletcher and Day 1983,10.1016/0022-0981(83)90115-6,Ecklonia radiata,No,Mix,"Membranipora membranacea, Obelia australis and Spirorbis spp.",3.6300507
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,0
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,0
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,0
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,0
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,0
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,0
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,0
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,0
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,0
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,0.21883154
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,1.142855
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,2.1697931
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,2.3477778
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,6.7625566
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,8.815943
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,20.595678
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,53.34718
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,34.9695
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,60.19891
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,65.43504
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,65.74305
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,99.90469
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,76.18821
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,69.92526
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,0
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,0
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,0
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,0
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,0
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,0
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,72.37486
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,41.50307
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,2.01589
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,45.739914
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,24.816717
Førde et al. 2016,10.1007/s10811-015-0606-5,Saccharina latissima,Yes,Bryozoa,Electra pilosa and Membranipora membranacea,46.970562
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Bryozoa,Membranipora membranacea,6.155731667
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Bryozoa,Membranipora membranacea,19.7398187
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,31.05780818
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,2.460886433
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,32.41109543
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,67.48264501
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,2.992856797
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,7.654524157
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,34.14192812
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,16.36644582
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,2.321037867
Hepburn and Hurd 2005,10.3354/meps302037,Macrocystis pyrifera,No,Mix,Membranipora membranacea and Obelia geniculata,7.970492867
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,No,Hydrozoa,NA,0.340482137
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,No,Hydrozoa,NA,0.156932142
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,No,Hydrozoa,NA,0.352791187
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,No,Hydrozoa,NA,0.238642047
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,No,Hydrozoa,NA,0
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,No,Hydrozoa,NA,0
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,No,Hydrozoa,NA,0
Jennings and Steinberg 1997,10.1007/s004420050106,Ecklonia radiata,No,Hydrozoa,NA,0
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,No,Mix,Membranipora membranacea and Obelia spp.,12.298197
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,No,Mix,Membranipora membranacea and Obelia spp.,12.4855677
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,No,Mix,Membranipora membranacea and Obelia spp.,9.8716002
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,No,Mix,Membranipora membranacea and Obelia spp.,17.6854937
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,No,Mix,Membranipora membranacea and Obelia spp.,8.5076134
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,No,Mix,Membranipora membranacea and Obelia spp.,6.6536323
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,No,Mix,Membranipora membranacea and Obelia spp.,11.427293
Marzinelli et al. 2009,10.1890/08-1893.1,Ecklonia radiata,No,Mix,Membranipora membranacea and Obelia spp.,12.3022336
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,3.1276615
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,11.23286
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,17.234133
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.5798692
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.11547157
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,16.995512
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.31561798
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,0.6722336
Marzinelli et al. 2011,10.1371/journal.pone.0021936,Ecklonia radiata,No,Bryozoa,Membranipora membranacea,15.166156
