Reference,DOI,Plant,Species,Substrate (Product),k,rDOC,d,Model,N,P,C,C:N,C:P
Albright et al. 1980,10.1515/9783110837988-015,marine macroalgae,Macrocystis pyrifera,Wet mass,0.06099915,NA,53,None,2.1,NA,30,14.3,NA
Albright et al. 1980,10.1515/9783110837988-015,marine macroalgae,Macrocystis pyrifera,Wet mass,0.01429453,NA,55,None,2.1,NA,30,14.3,NA
Albright et al. 1980,10.1515/9783110837988-015,marine macroalgae,Macrocystis pyrifera,Wet mass,0.008873517,NA,53,None,1,NA,29.5,29.5,NA
Albright et al. 1980,10.1515/9783110837988-015,marine macroalgae,Macrocystis pyrifera,Wet mass,0.01139282,NA,55,None,1,NA,29.5,29.5,NA
Albright et al. 1980,10.1515/9783110837988-015,marine macroalgae,Nereocystis luetkeana,Wet mass,0.07798217,NA,37,None,NA,NA,NA,NA,NA
Albright et al. 1980,10.1515/9783110837988-015,marine macroalgae,Nereocystis luetkeana,Wet mass,0.01428523,NA,37,None,NA,NA,NA,NA,NA
Albright et al. 1980,10.1515/9783110837988-015,marine macroalgae,Nereocystis luetkeana,Wet mass,0.02141361,NA,45,None,NA,NA,NA,NA,NA
Albright et al. 1980,10.1515/9783110837988-015,marine macroalgae,Nereocystis luetkeana,Wet mass,0.03666856,NA,35,None,NA,NA,NA,NA,NA
Birch et al. 1983,10.1515/botm.1983.26.4.165,marine macroalgae,Cladophora albida,Dry mass,0.006753251,NA,364,None,3.5186517,0.37759462,37.819378,10.74825849,100.1586781
Birch et al. 1983,10.1515/botm.1983.26.4.165,marine macroalgae,Cladophora albida,Dry mass,0.00976337,NA,150,None,2.5787072,0.17693205,39.361958,15.26422154,222.4693491
Bourguès et al. 1996,10.1007/BF00034552,marine macroalgae,Ulvaria obscura,Dry mass,0.03491098,NA,25,Logistic,4.4498806,0.09818182,32.970184,8.5657215,335.8074234
Bourguès et al. 1996,10.1007/BF00034552,marine macroalgae,Ulvaria obscura,Dry mass,0.082,NA,18,First order exponential decay,4.4498806,0.09818182,32.970184,8.5657215,335.8074234
Bourguès et al. 1996,10.1007/BF00034552,marine macroalgae,Ulvaria obscura,Dry mass,0.01943061,NA,36,Logistic,4.4498806,0.09818182,32.970184,8.5657215,335.8074234
Bourguès et al. 1996,10.1007/BF00034552,marine macroalgae,Ulvaria obscura,Dry mass,0.01678631,NA,30,None,4.4498806,0.09818182,32.970184,8.5657215,335.8074234
Brouwer 1996,10.1007/BF02390433,marine macroalgae,Desmarestia anceps,Ash-free dry mass,0.000778701,NA,312,None,NA,NA,NA,14.5,200
Brouwer 1996,10.1007/BF02390433,marine macroalgae,Desmarestia anceps,Ash-free dry mass,0.01651807,NA,83,None,NA,NA,NA,17.5,625
Buchsbaum et al. 1991,10.3354/meps072131,marine macroalgae,Ulva lactuca,Dry mass,0.02656032,NA,30,None,NA,NA,NA,10,NA
Buchsbaum et al. 1991,10.3354/meps072131,marine macroalgae,Gracilaria tikvahiae,Dry mass,0.2371343,NA,15,None,NA,NA,NA,21,NA
