Reference,Ecosystem,Parameter,Fate,Carbon
Bienfag and Zieman 1992,Phytoplankton,CA,Accumulated,0.009855
Bienfag and Zieman 1992,Phytoplankton,CA,Accumulated,0.9855
Frost 1991,Phytoplankton,CA,Accumulated,0.06935
Joiris et al. 1982,Phytoplankton,CA,Accumulated,5.11
King et al. 1978,Phytoplankton,CA,Accumulated,0.12045
Lindeboom et al. 1989,Phytoplankton,CA,Accumulated,0.2555
Muller and Suess 1979,Phytoplankton,CA,Accumulated,27.7984
Muller and Suess 1979,Phytoplankton,CA,Accumulated,0.00365
Muller and Suess 1979,Phytoplankton,CA,Accumulated,0.2409
Nedwell et al. 1993,Phytoplankton,CA,Accumulated,35.405
Nixon and Pilson 1984,Phytoplankton,CA,Accumulated,0.438
Poumba 1994,Phytoplankton,CA,Accumulated,1.898
Prego 1993,Phytoplankton,CA,Accumulated,1.4965
Schlesinger 1997,Phytoplankton,CA,Accumulated,0.3504
Smith 1992,Phytoplankton,CA,Accumulated,0.803
Smith 1992,Phytoplankton,CA,Accumulated,0.001095
Smith 1992,Phytoplankton,CA,Accumulated,0.0365
Smith 1992,Phytoplankton,CA,Accumulated,0.219
Smith 1992,Phytoplankton,CA,Accumulated,0.219
Smith and Hollibaugh 1993,Phytoplankton,CA,Accumulated,4.015
Sorokin 1983,Phytoplankton,CA,Accumulated,0.00657
Suess 1980,Phytoplankton,CA,Accumulated,17.155
Suess 1980,Phytoplankton,CA,Accumulated,40.15
Atkinson and Grigg 1984,Macroalgal forests,CA,Accumulated,9.399845
Birch et al. 1983,Macroalgal forests,CA,Accumulated,13.5999
Bythell et al. 1993,Macroalgal forests,CA,Accumulated,0.02336
Bythell et al. 1993,Macroalgal forests,CA,Accumulated,12.41
Gathuso et al. 1993,Macroalgal forests,CA,Accumulated,7.3
Gerard 1976,Macroalgal forests,CA,Accumulated,6.57
Hatcher et al. 1992,Macroalgal forests,CA,Accumulated,5.475
Hauxwell et al. 1998; Peckol and Rivers 1996,Macroalgal forests,CA,Accumulated,22.40388
Josselyn and Mathieson 1980,Macroalgal forests,CA,Accumulated,0.011534
Koop et al. 1982,Macroalgal forests,CA,Accumulated,8.76
Kristensen et al. 1992,Macroalgal forests,CA,Accumulated,1.825
Mann 1988,Macroalgal forests,CA,Accumulated,5.84
Mann 1988,Macroalgal forests,CA,Accumulated,0.36135
Nakamori et al. 1992,Macroalgal forests,CA,Accumulated,105.85
Polunin and Klumpp 1992,Macroalgal forests,CA,Accumulated,0.803
Sfriso and Marcomini 1997,Macroalgal forests,CA,Accumulated,0.0644955
