Season,Day,Cover
Spring,7,1.2
Spring,21,65.9
Spring,28,73.7
Spring,35,100.0
Spring,7,1.6
Spring,14,9.9
Spring,21,36.4
Spring,27,70.2
Spring,7,0.4
Spring,14,8.8
Spring,21,54.6
Spring,28,68.6
Spring,34,91.9
Spring,7,0.5
Spring,21,54.1
Spring,28,96.7
Spring,7,4.1
Spring,14,3.8
Spring,21,80.6
Spring,27,98.7
Spring,7,1.9
Spring,14,4.6
Spring,21,63.6
Spring,28,84.7
Spring,34,93.4
Spring,7,0.8
Spring,14,9.3
Spring,21,29.5
Spring,27,96.0
Spring,7,0.5
Spring,21,35.1
Spring,28,82.4
Spring,7,0.2
Spring,14,6.0
Spring,21,35.5
Spring,27,97.5
Spring,7,0.7
Spring,14,10.1
Spring,17,27.8
Spring,7,0.5
Spring,14,16.7
Spring,7,0.3
Spring,14,10.7
Spring,21,67.5
Spring,24,76.3
Spring,7,0.9
Spring,21,33.4
Spring,28,91.1
Spring,14,21.2
Spring,21,93.6
Spring,28,98.4
Spring,14,22.9
Spring,21,57.3
Spring,24,97.4
Spring,14,3.5
Spring,21,48.1
Spring,28,83.8
Spring,34,97.7
Spring,14,11.8
Spring,21,33.5
Spring,24,91.6
Spring,21,67.4
Spring,24,76.7
Spring,7,1.0
Spring,27,85.6
Spring,14,12.0
Spring,21,86.8
Spring,27,95.0
Spring,21,13.0
Spring,28,99.3
Summer,7,1.08
Summer,14,1.36
Summer,21,55.11
Summer,28,89.20
Summer,7,0.39
Summer,14,3.93
Summer,21,66.84
Summer,28,98.90
Summer,7,0.44
Summer,14,9.21
Summer,21,57.36
Summer,27,98.10
Summer,7,0.99
Summer,14,8.50
Summer,21,44.78
Summer,28,98.33
Summer,7,0.64
Summer,14,20.12
Summer,21,34.53
Summer,28,99.45
Summer,7,0.54
Summer,14,6.84
Summer,21,48.23
Summer,7,3.54
Summer,14,5.29
Summer,21,39.49
Summer,23,72.06
Summer,7,1.34
Summer,14,5.80
Summer,21,57.92
Summer,7,0.79
Summer,14,3.45
Summer,21,48.94
Summer,27,100.00
Summer,7,0.84
Summer,14,14.04
Summer,21,47.34
Summer,27,83.06
