Product,Species,Year,Production
Kombu,Saccharina japonica,2000,5380.9
Kombu,Saccharina japonica,2005,5699.1
Kombu,Saccharina japonica,2010,6525.6
Kombu,Saccharina japonica,2015,10302.7
Kombu,Saccharina japonica,2016,10662.6
Kombu,Saccharina japonica,2017,11174.5
Kombu,Saccharina japonica,2018,11448.3
Carrageenan,"Kappaphycus alvarezii, Eucheuma denticulatum and other Eucheuma spp.",2000,949.1
Carrageenan,"Kappaphycus alvarezii, Eucheuma denticulatum and other Eucheuma spp.",2005,2441.9
Carrageenan,"Kappaphycus alvarezii, Eucheuma denticulatum and other Eucheuma spp.",2010,5622.4
Carrageenan,"Kappaphycus alvarezii, Eucheuma denticulatum and other Eucheuma spp.",2015,12215.6
Carrageenan,"Kappaphycus alvarezii, Eucheuma denticulatum and other Eucheuma spp.",2016,11514.4
Carrageenan,"Kappaphycus alvarezii, Eucheuma denticulatum and other Eucheuma spp.",2017,11317
Carrageenan,"Kappaphycus alvarezii, Eucheuma denticulatum and other Eucheuma spp.",2018,11009.7
Agar,Gracilaria spp.,2000,55.5
Agar,Gracilaria spp.,2005,933.2
Agar,Gracilaria spp.,2010,1657.1
Agar,Gracilaria spp.,2015,3767
Agar,Gracilaria spp.,2016,4248.9
Agar,Gracilaria spp.,2017,4174.2
Agar,Gracilaria spp.,2018,3454.8
Nori,Pyropia spp.,2000,954.1
Nori,Pyropia spp.,2005,1287.3
Nori,Pyropia spp.,2010,1605.9
Nori,Pyropia spp.,2015,1798.4
Nori,Pyropia spp.,2016,2026.3
Nori,Pyropia spp.,2017,2564.3
Nori,Pyropia spp.,2018,2872.8
Wakame,Undaria pinnatifida,2000,311.1
Wakame,Undaria pinnatifida,2005,2439.7
Wakame,Undaria pinnatifida,2010,1505.1
Wakame,Undaria pinnatifida,2015,2215.6
Wakame,Undaria pinnatifida,2016,2063.5
Wakame,Undaria pinnatifida,2017,2341.7
Wakame,Undaria pinnatifida,2018,2320.4
Hijiki,Sargassum fusiforme,2000,12.1
Hijiki,Sargassum fusiforme,2005,115.6
Hijiki,Sargassum fusiforme,2010,97
Hijiki,Sargassum fusiforme,2015,209.3
Hijiki,Sargassum fusiforme,2016,216.4
Hijiki,Sargassum fusiforme,2017,254.6
Hijiki,Sargassum fusiforme,2018,268.7
